session,start,end,text,emotion,rms,pitch
titan_2023_2,5.18,8.04,React was the only logical choice for scalability.,neu,0.03534603863954544,1733.2991943359375
titan_2023_2,8.9,12.88,Anyone who suggested otherwise simply didn't understand the problem.,neu,0.031132295727729797,1570.6505126953125
selene_2024_1,0.0,3.58,"I'm a seasoned Ruby on Rails developer, but my real passion is data.",neu,0.03550610691308975,1651.24169921875
selene_2024_1,4.08,9.0,"I'm proficient across the modern data stack, AI, machine learning, and big data.",neu,0.030165869742631912,1778.6224365234375
selene_2024_1,9.26,11.1,I'm ready to build your next predictive engine.,neu,0.030689101666212082,1849.5516357421875
titan_2023_1,0.0,3.28,"Let's be clear. For seven years, I was the front-end department.",neu,0.032124586403369904,1533.2872314453125
titan_2023_1,3.92,5.62,The title was Lead Architect.,neu,0.03243374079465866,1587.0263671875
titan_2023_1,6.3,8.22,"But in reality, I was the visionary.",hap,0.03281864523887634,1679.813720703125
titan_2023_1,8.9,12.84,I designed and built our entire micro front-end platform from scratch.,neu,0.03490164503455162,1631.3887939453125
hyperion_2022_3,0.0,5.28,"I, um, the lead dev actually wrote a library for that. I just used his transaction decorator.",neu,0.03291034698486328,1669.3905029296875
hyperion_2022_2,0.0,5.0,The most complex part? Taming celery. Anyone who's worked with it knows it's a beast.,neu,0.02648935467004776,1616.66748046875
hyperion_2022_2,5.46,9.04,I'm the one who figured out how to make it reliable for our background job processing.,neu,0.03246011212468147,1475.9566650390625
hyperion_2022_1,0.0,5.22,"When I started, there was nothing but an idea. I built my backend from the very first line of code.",neu,0.030994804576039314,1620.334716796875
hyperion_2022_1,5.86,12.06,"Every Django model, every Celery task, every database migration, that was all me. It's my creation.",hap,0.03213070333003998,1704.7396240234375
hyperion_2022_5,0.0,4.88,"Look, fine. He designed the core architecture and the database schema. I wrote the code for it.",neu,0.03236609697341919,1694.2296142578125
hyperion_2022_5,5.28,9.72,"I was the lead developer, not the architect. It was my code, but it was his system.",neu,0.02880406565964222,1597.4708251953125
hyperion_2022_4,0.0,5.68,I wrote all the business logic. He just provided some infrastructure shell. It was my implementation.,neu,0.031130624935030937,1776.47998046875
